Line,transition_hour,Number_of_Trips,Direction,Day_Type,Peak_Hour_Indicator
M1,0,2,Yenikapı to Kirazlı,Weekday,No
M1,0,2,Kirazlı to Yenikapı,Weekday,No
M1,1,2,Yenikapı to Kirazlı,Weekday,No
M1,1,2,Kirazlı to Yenikapı,Weekday,No
M1,2,2,Yenikapı to Kirazlı,Weekday,No
M1,2,2,Kirazlı to Yenikapı,Weekday,No
M1,3,2,Yenikapı to Kirazlı,Weekday,No
M1,3,2,Kirazlı to Yenikapı,Weekday,No
M1,4,2,Yenikapı to Kirazlı,Weekday,No
M1,4,2,Kirazlı to Yenikapı,Weekday,No
M1,5,2,Yenikapı to Kirazlı,Weekday,No
M1,5,2,Kirazlı to Yenikapı,Weekday,No
M1,6,6,Yenikapı to Kirazlı,Weekday,No
M1,6,6,Kirazlı to Yenikapı,Weekday,No
M1,7,6,Yenikapı to Kirazlı,Weekday,Yes
M1,7,6,Kirazlı to Yenikapı,Weekday,Yes
M1,8,7,Yenikapı to Kirazlı,Weekday,Yes
M1,8,7,Kirazlı to Yenikapı,Weekday,Yes
M1,9,7,Yenikapı to Kirazlı,Weekday,Yes
M1,9,7,Kirazlı to Yenikapı,Weekday,Yes
M1,10,7,Yenikapı to Kirazlı,Weekday,No
M1,10,7,Kirazlı to Yenikapı,Weekday,No
M1,11,7,Yenikapı to Kirazlı,Weekday,No
M1,11,7,Kirazlı to Yenikapı,Weekday,No
M1,12,7,Yenikapı to Kirazlı,Weekday,No
M1,12,7,Kirazlı to Yenikapı,Weekday,No
M1,13,7,Yenikapı to Kirazlı,Weekday,No
M1,13,7,Kirazlı to Yenikapı,Weekday,No
M1,14,7,Yenikapı to Kirazlı,Weekday,No
M1,14,7,Kirazlı to Yenikapı,Weekday,No
M1,15,7,Yenikapı to Kirazlı,Weekday,No
M1,15,7,Kirazlı to Yenikapı,Weekday,No
M1,16,7,Yenikapı to Kirazlı,Weekday,Yes
M1,16,7,Kirazlı to Yenikapı,Weekday,Yes
M1,17,7,Yenikapı to Kirazlı,Weekday,Yes
M1,17,7,Kirazlı to Yenikapı,Weekday,Yes
M1,18,7,Yenikapı to Kirazlı,Weekday,Yes
M1,18,7,Kirazlı to Yenikapı,Weekday,Yes
M1,19,7,Yenikapı to Kirazlı,Weekday,No
M1,19,7,Kirazlı to Yenikapı,Weekday,No
M1,20,6,Yenikapı to Kirazlı,Weekday,No
M1,20,6,Kirazlı to Yenikapı,Weekday,No
M1,21,6,Yenikapı to Kirazlı,Weekday,No
M1,21,6,Kirazlı to Yenikapı,Weekday,No
M1,22,6,Yenikapı to Kirazlı,Weekday,No
M1,22,6,Kirazlı to Yenikapı,Weekday,No
M1,23,6,Yenikapı to Kirazlı,Weekday,No
M1,23,6,Kirazlı to Yenikapı,Weekday,No
M2,0,3,Hacıosman to Yenikapı,Weekday,No
M2,0,3,Yenikapı to Hacıosman,Weekday,No
M2,1,2,Hacıosman to Yenikapı,Weekday,No
M2,1,2,Yenikapı to Hacıosman,Weekday,No
M2,2,2,Hacıosman to Yenikapı,Weekday,No
M2,2,2,Yenikapı to Hacıosman,Weekday,No
M2,3,2,Hacıosman to Yenikapı,Weekday,No
M2,3,2,Yenikapı to Hacıosman,Weekday,No
M2,4,2,Hacıosman to Yenikapı,Weekday,No
M2,4,2,Yenikapı to Hacıosman,Weekday,No
M2,5,2,Hacıosman to Yenikapı,Weekday,No
M2,5,2,Yenikapı to Hacıosman,Weekday,No
M2,6,6,Hacıosman to Yenikapı,Weekday,No
M2,6,6,Yenikapı to Hacıosman,Weekday,No
M2,7,6,Hacıosman to Yenikapı,Weekday,Yes
M2,7,6,Yenikapı to Hacıosman,Weekday,Yes
M2,8,6,Hacıosman to Yenikapı,Weekday,Yes
M2,8,6,Yenikapı to Hacıosman,Weekday,Yes
M2,9,6,Hacıosman to Yenikapı,Weekday,Yes
M2,9,6,Yenikapı to Hacıosman,Weekday,Yes
M2,10,6,Hacıosman to Yenikapı,Weekday,No
M2,10,6,Yenikapı to Hacıosman,Weekday,No
M2,11,6,Hacıosman to Yenikapı,Weekday,No
M2,11,6,Yenikapı to Hacıosman,Weekday,No
M2,12,7,Hacıosman to Yenikapı,Weekday,No
M2,12,7,Yenikapı to Hacıosman,Weekday,No
M2,13,9,Hacıosman to Yenikapı,Weekday,No
M2,13,9,Yenikapı to Hacıosman,Weekday,No
M2,14,9,Hacıosman to Yenikapı,Weekday,No
M2,14,9,Yenikapı to Hacıosman,Weekday,No
M2,15,9,Hacıosman to Yenikapı,Weekday,No
M2,15,9,Yenikapı to Hacıosman,Weekday,No
M2,16,9,Hacıosman to Yenikapı,Weekday,Yes
M2,16,9,Yenikapı to Hacıosman,Weekday,Yes
M2,17,9,Hacıosman to Yenikapı,Weekday,Yes
M2,17,9,Yenikapı to Hacıosman,Weekday,Yes
M2,18,9,Hacıosman to Yenikapı,Weekday,Yes
M2,18,9,Yenikapı to Hacıosman,Weekday,Yes
M2,19,9,Hacıosman to Yenikapı,Weekday,No
M2,19,9,Yenikapı to Hacıosman,Weekday,No
M2,20,8,Hacıosman to Yenikapı,Weekday,No
M2,20,8,Yenikapı to Hacıosman,Weekday,No
M2,21,6,Hacıosman to Yenikapı,Weekday,No
M2,21,6,Yenikapı to Hacıosman,Weekday,No
M2,22,6,Hacıosman to Yenikapı,Weekday,No
M2,22,6,Yenikapı to Hacıosman,Weekday,No
M2,23,5,Hacıosman to Yenikapı,Weekday,No
M2,23,5,Yenikapı to Hacıosman,Weekday,No
M7,0,2,Mahmutbey to Yıldız,Weekday,No
M7,0,2,Yıldız to Mahmutbey,Weekday,No
M7,1,2,Mahmutbey to Yıldız,Weekday,No
M7,1,2,Yıldız to Mahmutbey,Weekday,No
M7,2,2,Mahmutbey to Yıldız,Weekday,No
M7,2,2,Yıldız to Mahmutbey,Weekday,No
M7,3,2,Mahmutbey to Yıldız,Weekday,No
M7,3,2,Yıldız to Mahmutbey,Weekday,No
M7,4,2,Mahmutbey to Yıldız,Weekday,No
M7,4,2,Yıldız to Mahmutbey,Weekday,No
M7,5,2,Mahmutbey to Yıldız,Weekday,No
M7,5,2,Yıldız to Mahmutbey,Weekday,No
M7,6,6,Mahmutbey to Yıldız,Weekday,No
M7,6,6,Yıldız to Mahmutbey,Weekday,No
M7,7,6,Mahmutbey to Yıldız,Weekday,Yes
M7,7,6,Yıldız to Mahmutbey,Weekday,Yes
M7,8,5,Mahmutbey to Yıldız,Weekday,Yes
M7,8,5,Yıldız to Mahmutbey,Weekday,Yes
M7,9,8,Mahmutbey to Yıldız,Weekday,Yes
M7,9,8,Yıldız to Mahmutbey,Weekday,Yes
M7,10,8,Mahmutbey to Yıldız,Weekday,No
M7,10,8,Yıldız to Mahmutbey,Weekday,No
M7,11,8,Mahmutbey to Yıldız,Weekday,No
M7,11,8,Yıldız to Mahmutbey,Weekday,No
M7,12,8,Mahmutbey to Yıldız,Weekday,No
M7,12,8,Yıldız to Mahmutbey,Weekday,No
M7,13,8,Mahmutbey to Yıldız,Weekday,No
M7,13,8,Yıldız to Mahmutbey,Weekday,No
M7,14,8,Mahmutbey to Yıldız,Weekday,No
M7,14,8,Yıldız to Mahmutbey,Weekday,No
M7,15,8,Mahmutbey to Yıldız,Weekday,No
M7,15,8,Yıldız to Mahmutbey,Weekday,No
M7,16,8,Mahmutbey to Yıldız,Weekday,Yes
M7,16,8,Yıldız to Mahmutbey,Weekday,Yes
M7,17,8,Mahmutbey to Yıldız,Weekday,Yes
M7,17,8,Yıldız to Mahmutbey,Weekday,Yes
M7,18,9,Mahmutbey to Yıldız,Weekday,Yes
M7,18,9,Yıldız to Mahmutbey,Weekday,Yes
M7,19,9,Mahmutbey to Yıldız,Weekday,No
M7,19,9,Yıldız to Mahmutbey,Weekday,No
M7,20,6,Mahmutbey to Yıldız,Weekday,No
M7,20,6,Yıldız to Mahmutbey,Weekday,No
M7,21,7,Mahmutbey to Yıldız,Weekday,No
M7,21,7,Yıldız to Mahmutbey,Weekday,No
M7,22,6,Mahmutbey to Yıldız,Weekday,No
M7,22,6,Yıldız to Mahmutbey,Weekday,No
M7,23,5,Mahmutbey to Yıldız,Weekday,No
M7,23,5,Yıldız to Mahmutbey,Weekday,No
M3,0,2,Bakırköy Sahil to Kayaşehir Merkez,Weekday,No
M3,0,2,Kayaşehir Merkez to Bakırköy Sahil,Weekday,No
M3,1,2,Bakırköy Sahil to Kayaşehir Merkez,Weekday,No
M3,1,2,Kayaşehir Merkez to Bakırköy Sahil,Weekday,No
M3,2,2,Bakırköy Sahil to Kayaşehir Merkez,Weekday,No
M3,2,2,Kayaşehir Merkez to Bakırköy Sahil,Weekday,No
M3,3,2,Bakırköy Sahil to Kayaşehir Merkez,Weekday,No
M3,3,2,Kayaşehir Merkez to Bakırköy Sahil,Weekday,No
M3,4,2,Bakırköy Sahil to Kayaşehir Merkez,Weekday,No
M3,4,2,Kayaşehir Merkez to Bakırköy Sahil,Weekday,No
M3,5,2,Bakırköy Sahil to Kayaşehir Merkez,Weekday,No
M3,5,2,Kayaşehir Merkez to Bakırköy Sahil,Weekday,No
M3,6,6,Bakırköy Sahil to Kayaşehir Merkez,Weekday,No
M3,6,6,Kayaşehir Merkez to Bakırköy Sahil,Weekday,No
M3,7,6,Bakırköy Sahil to Kayaşehir Merkez,Weekday,Yes
M3,7,6,Kayaşehir Merkez to Bakırköy Sahil,Weekday,Yes
M3,8,5,Bakırköy Sahil to Kayaşehir Merkez,Weekday,Yes
M3,8,5,Kayaşehir Merkez to Bakırköy Sahil,Weekday,Yes
M3,9,8,Bakırköy Sahil to Kayaşehir Merkez,Weekday,Yes
M3,9,8,Kayaşehir Merkez to Bakırköy Sahil,Weekday,Yes
M3,10,8,Bakırköy Sahil to Kayaşehir Merkez,Weekday,No
M3,10,8,Kayaşehir Merkez to Bakırköy Sahil,Weekday,No
M3,11,8,Bakırköy Sahil to Kayaşehir Merkez,Weekday,No
M3,11,8,Kayaşehir Merkez to Bakırköy Sahil,Weekday,No
M3,12,8,Bakırköy Sahil to Kayaşehir Merkez,Weekday,No
M3,12,8,Kayaşehir Merkez to Bakırköy Sahil,Weekday,No
M3,13,8,Bakırköy Sahil to Kayaşehir Merkez,Weekday,No
M3,13,8,Kayaşehir Merkez to Bakırköy Sahil,Weekday,No
M3,14,8,Bakırköy Sahil to Kayaşehir Merkez,Weekday,No
M3,14,8,Kayaşehir Merkez to Bakırköy Sahil,Weekday,No
M3,15,8,Bakırköy Sahil to Kayaşehir Merkez,Weekday,No
M3,15,8,Kayaşehir Merkez to Bakırköy Sahil,Weekday,No
M3,16,8,Bakırköy Sahil to Kayaşehir Merkez,Weekday,Yes
M3,16,8,Kayaşehir Merkez to Bakırköy Sahil,Weekday,Yes
M3,17,8,Bakırköy Sahil to Kayaşehir Merkez,Weekday,Yes
M3,17,8,Kayaşehir Merkez to Bakırköy Sahil,Weekday,Yes
M3,18,9,Bakırköy Sahil to Kayaşehir Merkez,Weekday,Yes
M3,18,9,Kayaşehir Merkez to Bakırköy Sahil,Weekday,Yes
M3,19,9,Bakırköy Sahil to Kayaşehir Merkez,Weekday,No
M3,19,9,Kayaşehir Merkez to Bakırköy Sahil,Weekday,No
M3,20,6,Bakırköy Sahil to Kayaşehir Merkez,Weekday,No
M3,20,6,Kayaşehir Merkez to Bakırköy Sahil,Weekday,No
M3,21,7,Bakırköy Sahil to Kayaşehir Merkez,Weekday,No
M3,21,7,Kayaşehir Merkez to Bakırköy Sahil,Weekday,No
M3,22,6,Bakırköy Sahil to Kayaşehir Merkez,Weekday,No
M3,22,6,Kayaşehir Merkez to Bakırköy Sahil,Weekday,No
M3,23,5,Bakırköy Sahil to Kayaşehir Merkez,Weekday,No
M3,23,5,Kayaşehir Merkez to Bakırköy Sahil,Weekday,No
M4,0,2,Tavşantepe to Kadıköy,Weekday,No
M4,0,2,Kadıköy to Tavşantepe,Weekday,No
M4,1,2,Tavşantepe to Kadıköy,Weekday,No
M4,1,2,Kadıköy to Tavşantepe,Weekday,No
M4,2,2,Tavşantepe to Kadıköy,Weekday,No
M4,2,2,Kadıköy to Tavşantepe,Weekday,No
M4,3,2,Tavşantepe to Kadıköy,Weekday,No
M4,3,2,Kadıköy to Tavşantepe,Weekday,No
M4,4,2,Tavşantepe to Kadıköy,Weekday,No
M4,4,2,Kadıköy to Tavşantepe,Weekday,No
M4,5,2,Tavşantepe to Kadıköy,Weekday,No
M4,5,2,Kadıköy to Tavşantepe,Weekday,No
M4,6,6,Tavşantepe to Kadıköy,Weekday,No
M4,6,6,Kadıköy to Tavşantepe,Weekday,No
M4,7,6,Tavşantepe to Kadıköy,Weekday,Yes
M4,7,6,Kadıköy to Tavşantepe,Weekday,Yes
M4,8,5,Tavşantepe to Kadıköy,Weekday,Yes
M4,8,5,Kadıköy to Tavşantepe,Weekday,Yes
M4,9,8,Tavşantepe to Kadıköy,Weekday,Yes
M4,9,8,Kadıköy to Tavşantepe,Weekday,Yes
M4,10,8,Tavşantepe to Kadıköy,Weekday,No
M4,10,8,Kadıköy to Tavşantepe,Weekday,No
M4,11,8,Tavşantepe to Kadıköy,Weekday,No
M4,11,8,Kadıköy to Tavşantepe,Weekday,No
M4,12,8,Tavşantepe to Kadıköy,Weekday,No
M4,12,8,Kadıköy to Tavşantepe,Weekday,No
M4,13,8,Tavşantepe to Kadıköy,Weekday,No
M4,13,8,Kadıköy to Tavşantepe,Weekday,No
M4,14,8,Tavşantepe to Kadıköy,Weekday,No
M4,14,8,Kadıköy to Tavşantepe,Weekday,No
M4,15,8,Tavşantepe to Kadıköy,Weekday,No
M4,15,8,Kadıköy to Tavşantepe,Weekday,No
M4,16,8,Tavşantepe to Kadıköy,Weekday,Yes
M4,16,8,Kadıköy to Tavşantepe,Weekday,Yes
M4,17,8,Tavşantepe to Kadıköy,Weekday,Yes
M4,17,8,Kadıköy to Tavşantepe,Weekday,Yes
M4,18,9,Tavşantepe to Kadıköy,Weekday,Yes
M4,18,9,Kadıköy to Tavşantepe,Weekday,Yes
M4,19,9,Tavşantepe to Kadıköy,Weekday,No
M4,19,9,Kadıköy to Tavşantepe,Weekday,No
M4,20,6,Tavşantepe to Kadıköy,Weekday,No
M4,20,6,Kadıköy to Tavşantepe,Weekday,No
M4,21,7,Tavşantepe to Kadıköy,Weekday,No
M4,21,7,Kadıköy to Tavşantepe,Weekday,No
M4,22,6,Tavşantepe to Kadıköy,Weekday,No
M4,22,6,Kadıköy to Tavşantepe,Weekday,No
M4,23,5,Tavşantepe to Kadıköy,Weekday,No
M4,23,5,Kadıköy to Tavşantepe,Weekday,No
M5,0,2,Üsküdar to Samandıra Merkez,Weekday,No
M5,0,2,Samandıra Merkez to Üsküdar,Weekday,No
M5,1,2,Üsküdar to Samandıra Merkez,Weekday,No
M5,1,2,Samandıra Merkez to Üsküdar,Weekday,No
M5,2,2,Üsküdar to Samandıra Merkez,Weekday,No
M5,2,2,Samandıra Merkez to Üsküdar,Weekday,No
M5,3,2,Üsküdar to Samandıra Merkez,Weekday,No
M5,3,2,Samandıra Merkez to Üsküdar,Weekday,No
M5,4,2,Üsküdar to Samandıra Merkez,Weekday,No
M5,4,2,Samandıra Merkez to Üsküdar,Weekday,No
M5,5,2,Üsküdar to Samandıra Merkez,Weekday,No
M5,5,2,Samandıra Merkez to Üsküdar,Weekday,No
M5,6,6,Üsküdar to Samandıra Merkez,Weekday,No
M5,6,6,Samandıra Merkez to Üsküdar,Weekday,No
